"","B.lactating","B.pregnant","B.virgin","L.lactating","L.pregnant","L.virgin"
"246221",-10.8840629025753,-11.2567988544196,-11.0472302078413,-10.0446168086825,-10.2428988898694,-10.1828107103904
"72844",-9.98026402025993,-10.1458578806322,-10.4691800999928,-12.3848123227834,-12.0355816043854,-11.3415005048355
"71753",-14.7478088125107,-14.3719425143071,-13.5392963075178,-8.94778683679989,-9.81279420249827,-10.6370211283705
"16185",-14.2899622427141,-13.5523296091226,-13.2270365630565,-13.893562256761,-15.5822243564012,-14.0239567107534
"72709",-10.4191433803234,-10.3368408769878,-11.3144898558225,-10.6778719426757,-11.7773178687661,-11.0991122461001
"20607",-14.539139772521,-13.6299091674837,-12.1088362183389,-16.3156121538717,-17.3526692457452,-15.7418468325317
"72318",-16.1508348814958,-15.2393979288199,-15.2303707964138,-15.4400325559162,-15.4513848209759,-14.3533757972853
"17305",-13.1731478419021,-13.8882439335375,-12.57745138246,-15.1114683064421,-15.9064108233252,-14.3852391606615
"105844",-9.91465397848425,-9.58880886184332,-9.44899246769796,-11.9828485359141,-10.7241487127649,-10.2293680749431
"104445",-10.4683605638007,-10.2840723068866,-9.78677985681601,-10.0658070143794,-8.86988756076259,-9.38772430670657
"107753",-15.0902187953847,-15.9098103829512,-14.7136384183048,-15.4399979712833,-14.8368030992842,-14.3249558240307
"106039",-9.7134322339542,-9.90889427877733,-9.93207850841127,-9.79265476913613,-9.66770757641702,-9.81346628923516
"100038696",-13.8515754770296,-14.437466857562,-15.0902640159932,-16.9443952416006,-16.1180387054184,-15.1311834143472
"20401",-10.6234085641083,-10.7557514964271,-10.6938516901365,-12.0461246566896,-11.8825237777547,-10.9575449051271
"57028",-12.8567358773165,-12.580535416064,-12.5623504090984,-13.0676831796951,-14.2932653308733,-13.7115243971312
"16852",-7.68776646820574,-8.79792511152472,-8.29131273541283,-12.052730808565,-12.2329035958134,-11.8613779517267
"97961",-11.5806375299951,-11.1088387784978,-10.8864011251327,-11.527901905625,-10.9225721058284,-10.7815544192448
"110253",-8.81448729862893,-9.51137247126011,-10.3470360545289,-10.8848485538775,-10.7152515474582,-10.3688729738528
"14958",-8.88538473548412,-9.14440213065843,-10.0745229117594,-8.56748155894794,-9.23658741666019,-8.76376897627631
"26912",-10.7456738569029,-11.3376692426446,-11.1975549734364,-10.529123571568,-12.5576675729826,-11.84652551708
"223690",-11.3499236932786,-11.1459456514018,-11.0362650682016,-10.4692230560093,-10.9880332527712,-11.0700443597638
"223691",-9.42737785755221,-9.21612779857375,-9.10960172755995,-8.89508770034671,-8.69498048379707,-8.79692818562156
"27008",-8.4065151399112,-8.59182594713015,-9.00470929947929,-9.68841097522756,-9.33337420708216,-9.39173047593968
"27660",-13.3867728055458,-13.4772777247866,-13.4572109432228,-14.8645938237349,-14.3718968028192,-13.846637603835
"69833",-10.6853628025465,-10.7124468297068,-10.7723520501377,-10.65553762093,-10.7420902791576,-10.4485950926865
"20665",-8.83353235119392,-8.9852135162426,-9.0438457575452,-8.68537250912287,-8.32149928567138,-8.59810241775013
"100041655",-13.2876152788457,-13.8912710875478,-14.1220775660937,-12.2244778429486,-12.6439195265302,-14.0668840238317
"18693",-11.561275804256,-11.3237935246231,-10.9271333856395,-9.86501241648621,-10.184282230137,-10.4266035427031
"57274",-13.5138577435306,-13.6465506958928,-13.431730048613,-13.4362962052403,-13.7044990304308,-13.9840847501637
"207495",-14.5388626930516,-14.7367234327747,-13.8084792055239,-14.666826425569,-17.3522895044433,-16.0173651016033
"53357",-11.4116417373481,-11.3087984191651,-11.2740766965911,-10.133206885771,-10.3340432888273,-10.889943936222
"17133",-7.87221719484849,-7.465113232118,-7.03182435166261,-7.73811524803808,-7.26589165622692,-7.66955835989428
"223693",-10.354991738101,-10.6007551722181,-10.1865744704061,-11.2993441687273,-11.0360401285628,-10.4518972787826
"27373",-10.2840942378357,-10.1923528075864,-10.0011125023543,-10.6033002320348,-9.54071098488825,-9.44287493123633
"16520",-14.9392390181874,-13.8490605876241,-13.8836167685264,-16.9444303752983,-16.1180387054184,-15.4335332324542
"105785",-11.3093933066408,-11.0729279997967,-11.1996035585841,-10.9789673578326,-12.0923726227352,-12.472625306296
"67040",-7.56875127076639,-7.49523801303507,-7.76680983442566,-7.74499234835161,-7.52639538524615,-7.81206967536615
"13404",-13.3570678465974,-15.3220020326845,-15.3943197602291,-19.0267376293459,-17.3522895044433,-15.7416145627259
"75729",-13.17254602686,-13.8693846504775,-13.3537516142755,-14.5016726602432,-14.1192602682505,-13.0857099560575
"73739",-11.4561893839392,-11.663420068735,-11.9134094646951,-12.0462999617832,-12.0328334220085,-11.8646947495741
"223696",-10.4366717026471,-10.3924802264817,-10.4614985408268,-9.95231171432952,-10.0590841164821,-10.1723376362763
"74158",-9.40157544606455,-9.17865690903979,-9.43063351516513,-9.84904102714394,-9.45231293030245,-9.72377119441673
"14904",-9.74874491073554,-9.67811540296463,-9.54459138274273,-10.1096357730463,-9.86095636197369,-9.95273733253804
"223697",-8.5630813526264,-8.84514317484972,-8.73047244818001,-9.41916849534791,-8.2076191113137,-8.18196402712169
"100504191",-11.8797198255121,-12.2308162083433,-12.543909891506,-14.2357959316718,-13.8654488662505,-13.0289399241739
"54152",-10.745526557648,-11.0840847201929,-11.1818811064952,-11.2050393155182,-11.3644485650288,-10.9551953838131
"73340",-13.9249466971623,-14.0771501521805,-13.6429277038128,-16.3156121538717,-15.5825950460253,-14.8977281743271
"494448",-8.95185301695745,-9.24804071845094,-9.46650487851111,-10.2136496600136,-10.35469487821,-10.5809816482899
"109361",-13.5649747552094,-13.8901366384717,-15.9788536147916,-15.9326023299654,-15.2356845365048,-15.1988434215208
"80287",-9.98020888246402,-9.99331943047094,-10.7879122831819,-10.5923780917521,-10.0609179177099,-10.6337259837316
"52609",-10.6725218025687,-11.2397344871507,-10.9446823693493,-11.8670874977992,-11.3733860892537,-10.6844696552244
"18591",-9.71741297053632,-8.8699958479302,-8.82718956331446,-10.9475055099626,-9.05912573221051,-9.26584976350864
"27367",-11.1589627914766,-10.6547561236079,-10.8034172591017,-10.8730841236026,-10.5261740166885,-10.5095068455453
"100302601",-14.3664937724379,-13.5984978248136,-14.2019380059705,-13.5768891958526,-13.4141873232842,-13.5919475637411
"20972",-14.9390494680082,-13.5719957227533,-13.2825235973469,-10.6654722998902,-11.3786494742568,-11.0688924463075
"66513",-11.3229252756479,-11.3361023985756,-11.3419175995839,-10.9483907036733,-11.3426591518395,-11.288675016519
"17309",-11.499018223351,-11.5583478040833,-12.2916231258498,-14.9804832335252,-15.1400390775858,-12.8061019941999
"239555",-11.2011042493998,-11.0313323215412,-11.0047576347723,-10.9098816075869,-10.7858857292421,-10.5240183830408
"11911",-7.66315310218981,-7.68966711143082,-7.69079466881222,-8.23437571920478,-7.98980867475837,-7.97297548016872
"66538",-12.3255558409712,-11.6131754769408,-11.4139324154429,-10.8410750491021,-10.8234463188488,-10.9918267576905
