"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"346",1936,"A630001G21Rik",3,5,6,6,9,3,15,17,26,12,5,10
"347",3800,"Cab39",2707,3082,3637,3217,2944,2599,3936,4449,4059,3625,1777,1819
"348",2024,"Itm2c",6160,5797,9043,7862,7104,6757,2880,2876,2704,2387,1396,1352
"349",2550,"Gpr55",1,4,8,2,5,3,4,6,85,21,2,1
"350",3331,"2810459M11Rik",99,71,32,30,6,10,15,20,215,118,92,112
"351",3256,"Psmd1",3828,2909,4018,3483,2982,2457,3695,3842,4142,3499,1814,1888
"352",2072,"Htr2b",6,14,13,15,3,1,5,2,2,2,0,2
"353",5258,"Armc9",462,344,312,338,465,408,220,219,102,86,42,27
"354",2595,"B3gnt7",32,37,16,23,14,19,309,384,26,15,4,5
"355",8257,"Ncl",34824,31402,33474,24632,14438,12555,30222,26548,21395,16425,5762,5990
"356",116,"Snora75",39,34,44,44,21,19,22,16,21,12,7,5
"357",1266,"C130036L24Rik",16,31,12,19,11,9,15,16,17,12,8,8
"358",1192,"Ptma",33697,25551,24503,22808,14660,13623,32483,30663,20028,16222,7171,6950
"359",1092,"Pde6d",260,208,270,235,287,332,174,159,62,52,48,38
"360",2231,"Cops7b",209,152,172,143,131,138,232,219,209,159,169,141
"361",1042,"Nppc",176,118,65,47,51,73,10,20,6,5,10,8
"362",3171,"Dis3l2",345,323,443,347,242,234,565,545,555,461,178,167
"363",2698,"Ecel1",22,30,20,15,4,6,1,4,2,4,0,0
"364",4928,"Eif4e2",1345,1464,1561,1339,1153,1062,1403,1489,1942,1837,896,839
"365",1805,"Efhd1",56,109,265,161,364,261,20,38,37,59,154,166
"366",5743,"Gigyf2",1094,855,795,769,922,1047,1331,1409,1010,966,1148,1430
"367",1349,"Kcnj13",17,32,137,133,42,75,7,7,11,7,11,11
"368",462,"Snorc",5,14,1,0,0,2,89,82,1,0,0,1
"369",3384,"Ngef",30,27,12,4,4,0,542,596,105,90,139,115
"370",1602,"Gm6153",343,309,368,319,211,175,245,306,277,228,116,131
"371",2018,"Neu2",2,3,2,0,1,0,51,44,31,25,51,41
"372",4938,"Inpp5d",25,43,26,22,15,25,5,10,12,3,6,12
"373",3180,"Atg16l1",637,564,689,593,561,640,753,804,659,504,312,406
"374",1718,"Sag",4,16,9,7,5,3,7,12,6,7,1,0
"375",5694,"Dgkd",1581,1392,1577,1299,1155,1008,2204,2333,1794,1786,869,837
"376",5316,"Usp40",330,342,372,350,429,435,259,277,215,218,237,254
"377",2293,"Ugt1a6b",223,490,808,842,798,759,1,2,3,5,2,3
"378",3302,"Ugt1a6a",159,367,574,607,642,597,4,2,4,7,2,3
"379",1017,"Dnajb3",16,9,12,6,7,5,0,9,4,1,2,0
"380",7526,"Mroh2a",6,1,20,12,10,6,2,0,2,3,0,0
"381",8439,"Hjurp",103,103,85,71,77,84,136,184,113,89,56,60
